Iteration: 1
Team ,Score ,Strategy
25,-168,[9 13 8 5 3 2 11 4 10 12 6 1 7]
Iteration: 153
Team ,Score ,Strategy
1,35,[7 11 9 4 1 3 2 6 8 12 10 13 5]
2,375,[4 1 5 2 9 10 3 8 6 12 11 7 13]
3,125,[4 1 5 7 6 10 11 8 13 3 12 9 2]
4,375,[4 1 5 2 9 10 3 8 6 12 11 7 13]
5,356,[2 1 6 5 9 12 3 13 4 7 10 11 8]
6,53,[7 11 5 4 1 2 6 8 13 12 10 9 3]
7,103,[6 4 10 2 1 8 7 9 12 11 5 3 13]
8,-139,[6 10 9 5 3 12 4 13 1 11 2 7 8]
9,-368,[9 13 12 11 6 1 2 10 4 7 3 5 8]
10,-137,[1 9 11 3 12 6 5 7 13 4 10 8 2]
11,-446,[7 9 12 11 3 10 6 13 8 4 5 1 2]
12,605,[5 3 2 9 1 4 8 10 6 7 13 12 11]
13,-29,[7 1 11 13 6 2 10 9 4 8 12 3 5]
14,-133,[7 11 5 6 4 10 1 13 8 3 9 12 2]
15,7,[10 2 3 5 8 13 6 9 12 1 4 11 7]
16,-83,[10 5 7 3 9 11 2 4 13 1 12 8 6]
17,-75,[4 5 1 8 12 11 9 6 13 3 10 2 7]
18,205,[8 2 4 5 6 12 13 3 1 7 10 11 9]
19,-156,[5 13 9 10 1 11 7 2 8 6 3 4 12]
20,-90,[4 6 7 13 3 10 9 8 5 12 1 2 11]
21,124,[1 8 2 6 11 4 12 13 5 7 9 3 10]
22,-188,[10 13 2 6 12 4 5 11 1 9 7 3 8]
23,9,[3 6 10 7 11 12 1 4 2 13 5 9 8]
24,-301,[12 7 5 4 11 8 13 1 9 3 6 10 2]
25,-227,[11 12 9 8 1 4 2 7 3 13 6 10 5]
Iteration: 154
Team ,Score ,Strategy
1,240,[4 1 5 7 6 10 11 8 13 3 12 9 2]
2,-1,[8 2 5 7 6 12 13 3 4 1 10 11 9]
3,286,[4 1 5 2 9 10 11 8 13 3 12 7 6]
4,112,[2 1 5 7 6 10 11 13 12 4 9 3 8]
5,129,[4 1 5 2 9 10 11 8 13 12 7 3 6]
6,169,[4 3 2 5 9 10 8 12 6 7 11 1 13]
7,86,[4 2 7 8 13 3 10 5 11 9 6 1 12]
8,-203,[10 11 9 5 1 7 2 13 3 8 4 6 12]
9,-213,[7 4 6 13 1 9 10 12 11 2 5 8 3]
10,-215,[10 9 3 1 12 5 13 2 8 7 11 6 4]
11,-311,[7 12 3 11 5 10 13 2 6 8 1 4 9]
12,-162,[7 9 5 13 1 11 3 2 8 10 4 12 6]
13,73,[5 1 7 4 13 9 8 3 11 2 10 6 12]
14,-154,[9 11 4 8 6 1 5 13 2 12 3 10 7]
15,-8,[11 4 7 3 1 13 5 2 6 9 10 12 8]
16,101,[7 2 8 9 4 11 10 5 6 1 3 13 12]
17,154,[4 2 9 5 13 1 8 3 6 12 10 7 11]
18,109,[6 9 2 4 1 3 13 8 11 5 10 12 7]
19,-201,[10 12 2 5 8 1 9 7 6 13 11 4 3]
20,179,[11 7 2 6 4 5 3 1 9 8 12 13 10]
21,-283,[9 7 13 4 6 3 5 8 12 11 10 2 1]
22,196,[11 1 10 6 7 4 3 9 8 2 12 5 13]
23,54,[8 2 12 6 4 7 3 5 13 9 1 11 10]
24,-78,[7 13 1 6 8 3 4 12 9 10 5 2 11]
25,-59,[11 2 7 9 4 10 8 3 5 1 12 13 6]
Iteration: 155
Team ,Score ,Strategy
1,90,[4 2 9 5 13 1 8 3 6 12 10 7 11]
2,88,[4 1 5 7 6 11 8 12 13 3 10 9 2]
3,178,[4 3 5 1 6 10 11 12 13 7 8 9 2]
4,43,[11 1 5 2 4 10 3 8 9 13 12 7 6]
5,327,[4 1 5 2 6 10 11 8 13 3 12 9 7]
6,43,[11 1 5 2 4 10 3 8 9 13 12 7 6]
7,-87,[6 12 5 3 4 10 9 7 1 11 2 8 13]
8,79,[8 10 6 9 4 3 2 13 5 7 1 12 11]
9,-63,[11 8 2 3 5 7 9 10 12 1 4 13 6]
10,250,[2 5 10 1 7 8 12 4 11 3 13 9 6]
11,64,[5 11 2 6 8 13 9 7 1 4 12 10 3]
12,-277,[12 10 11 4 6 8 3 1 2 13 7 5 9]
13,-72,[12 6 7 11 4 3 13 2 1 5 8 9 10]
14,-134,[13 3 6 11 12 2 7 1 8 4 5 10 9]
15,-59,[11 7 2 12 5 8 10 3 1 9 4 13 6]
16,-490,[11 9 10 3 12 6 5 8 1 13 4 7 2]
17,53,[5 4 9 2 1 8 13 11 6 3 12 7 10]
18,25,[7 9 8 6 12 4 1 2 13 5 11 10 3]
19,-27,[12 1 4 8 10 6 3 13 9 7 5 2 11]
20,-34,[2 9 6 3 11 13 1 4 7 12 10 8 5]
21,-420,[9 12 8 6 4 11 10 13 1 5 7 3 2]
22,164,[4 5 6 7 1 13 12 2 11 3 8 9 10]
23,56,[6 4 11 3 2 5 9 10 8 13 7 1 12]
24,238,[7 1 8 2 5 4 6 12 10 11 3 9 13]
25,-35,[10 1 3 9 4 7 12 11 5 6 13 8 2]
Iteration: 156
Team ,Score ,Strategy
1,319,[4 2 9 5 13 1 8 3 6 12 10 7 11]
2,139,[4 3 5 1 10 13 12 2 11 7 8 9 6]
3,381,[4 3 5 1 7 8 11 2 13 10 12 9 6]
4,381,[4 3 5 1 7 8 11 2 13 10 12 9 6]
5,381,[4 3 5 1 7 8 11 2 13 10 12 9 6]
6,260,[4 2 9 5 10 1 6 12 7 11 3 8 13]
7,-177,[5 12 8 11 2 9 3 1 13 10 6 4 7]
8,-62,[11 1 2 13 3 10 9 7 5 12 8 6 4]
9,-260,[1 9 6 8 12 13 10 7 5 4 2 11 3]
10,-25,[6 3 11 10 2 7 5 9 12 13 4 1 8]
11,111,[1 10 2 3 8 12 9 5 13 7 6 4 11]
12,-192,[5 13 12 7 3 9 2 8 1 10 11 6 4]
13,-113,[13 5 8 2 7 6 10 4 3 11 9 12 1]
14,-476,[3 9 11 6 12 7 8 13 10 1 5 2 4]
15,-319,[12 13 5 1 3 9 11 10 2 6 8 7 4]
16,-58,[3 13 2 8 9 6 11 5 4 10 7 1 12]
17,-106,[2 12 9 8 1 5 10 4 13 7 3 6 11]
18,-148,[5 12 1 6 2 11 7 10 13 8 9 3 4]
19,69,[13 6 4 2 1 11 8 9 5 12 10 3 7]
20,161,[4 10 5 6 3 1 7 9 12 13 2 8 11]
21,5,[2 11 13 3 5 10 1 12 6 8 9 4 7]
22,-200,[6 7 12 10 8 1 2 5 11 9 3 13 4]
23,67,[6 3 11 1 7 12 9 4 2 10 8 13 5]
24,-282,[8 9 7 6 4 10 12 2 11 5 3 13 1]
25,144,[7 4 6 11 1 8 9 2 5 12 10 3 13]
Iteration: 157
Team ,Score ,Strategy
1,228,[4 10 5 6 3 1 7 9 12 13 2 8 11]
2,378,[4 3 5 1 7 8 11 2 13 10 12 9 6]
3,291,[4 2 9 5 7 8 13 3 6 10 1 11 12]
4,347,[4 3 5 1 13 7 8 2 6 12 10 9 11]
5,232,[4 10 9 5 3 1 6 12 2 11 7 8 13]
6,67,[4 2 9 1 7 13 11 8 6 10 12 3 5]
7,288,[8 2 6 4 12 5 3 11 7 10 1 9 13]
8,58,[8 3 1 11 2 13 4 6 12 9 10 5 7]
9,118,[10 2 8 3 11 4 1 7 9 6 12 5 13]
10,-84,[11 8 1 12 6 7 2 3 13 10 4 9 5]
11,211,[2 8 5 1 6 13 4 10 3 7 9 12 11]
12,-305,[10 8 13 12 1 2 6 7 9 4 3 11 5]
13,-350,[13 10 3 6 5 12 9 7 4 2 8 1 11]
14,-317,[8 12 9 3 6 10 2 11 7 5 13 1 4]
15,272,[2 8 10 5 3 9 1 7 4 12 13 11 6]
16,-263,[9 8 10 13 3 4 5 11 12 1 6 2 7]
17,3,[3 9 11 7 8 6 2 12 4 10 1 13 5]
18,62,[2 3 4 7 5 12 13 10 9 8 6 1 11]
19,-172,[8 4 10 12 7 2 11 3 13 9 5 6 1]
20,-106,[5 7 6 10 1 9 8 11 13 4 12 3 2]
21,64,[5 6 3 11 10 4 7 9 13 12 1 2 8]
22,-289,[13 1 12 3 10 11 8 2 5 7 9 4 6]
23,-183,[10 8 5 9 11 13 3 2 6 1 12 4 7]
24,-44,[1 10 6 7 3 2 13 9 12 8 11 5 4]
25,-506,[10 8 9 12 13 6 2 1 3 7 11 4 5]
Iteration: 158
Team ,Score ,Strategy
1,143,[4 10 9 5 3 1 6 12 2 11 7 8 13]
2,-94,[4 10 9 6 12 5 3 11 2 7 1 8 13]
3,-80,[8 3 5 1 13 12 11 2 6 10 7 9 4]
4,211,[4 3 10 5 12 8 1 2 7 9 13 11 6]
5,211,[4 3 10 5 12 8 1 2 7 9 13 11 6]
6,-80,[8 3 5 1 13 12 11 2 6 10 7 9 4]
7,50,[11 5 13 8 1 2 4 9 6 3 10 12 7]
8,-84,[9 4 3 12 13 1 8 6 7 10 2 5 11]
9,152,[7 3 2 6 8 5 9 10 12 1 13 11 4]
10,100,[6 1 8 2 10 4 5 12 13 7 9 3 11]
11,273,[8 5 1 3 7 6 2 10 13 12 9 4 11]
12,-113,[13 3 5 4 9 8 6 11 10 1 7 2 12]
13,43,[10 2 8 5 6 11 1 3 13 12 9 4 7]
14,-196,[9 10 6 3 13 5 2 12 1 7 4 8 11]
15,269,[2 3 9 1 6 5 11 8 12 7 10 13 4]
16,-406,[13 8 11 12 2 4 5 3 9 6 7 1 10]
17,-275,[10 6 7 8 13 3 9 1 4 12 5 11 2]
18,-254,[1 8 9 10 5 13 11 12 3 6 4 2 7]
19,85,[10 8 1 11 9 4 2 6 5 3 12 13 7]
20,492,[1 7 4 3 5 6 9 2 11 8 10 12 13]
21,-96,[11 9 3 5 6 1 13 7 8 2 12 10 4]
22,84,[11 2 4 1 7 12 9 6 3 8 10 5 13]
23,216,[1 6 2 3 12 4 11 7 13 9 10 8 5]
24,-401,[13 10 12 8 6 2 1 4 7 9 5 11 3]
25,-250,[3 1 10 9 12 13 11 8 5 2 4 7 6]
Iteration: 159
Team ,Score ,Strategy
1,292,[4 3 10 5 12 8 1 2 7 9 13 11 6]
2,403,[1 7 4 3 5 6 9 2 11 12 10 8 13]
3,292,[4 3 10 5 12 8 1 2 7 9 13 11 6]
4,49,[4 6 10 3 12 8 11 2 7 9 1 13 5]
5,193,[4 3 9 1 6 5 11 8 12 7 10 13 2]
6,374,[4 3 10 1 6 5 11 2 12 7 8 13 9]
7,-240,[12 11 2 8 13 10 9 3 7 1 5 4 6]
8,-152,[11 5 13 4 9 6 3 7 12 1 2 10 8]
9,-217,[2 13 12 10 4 9 5 7 1 11 8 6 3]
10,135,[7 12 8 4 3 9 1 10 6 2 5 13 11]
11,113,[1 6 7 5 4 11 8 13 12 3 9 10 2]
12,29,[6 11 7 12 5 2 4 1 13 10 3 9 8]
13,-335,[9 7 5 11 6 13 10 8 12 2 1 3 4]
14,76,[6 2 7 4 9 5 11 8 3 12 13 10 1]
15,-81,[10 2 7 8 11 1 4 12 9 5 13 6 3]
16,-90,[13 5 10 9 3 7 6 12 1 2 11 4 8]
17,46,[10 7 6 2 5 4 13 12 1 9 11 3 8]
18,-339,[12 13 9 1 8 11 4 10 2 7 3 6 5]
19,-390,[4 8 11 12 13 7 10 6 5 1 9 2 3]
20,285,[1 10 2 3 8 11 12 5 4 13 9 7 6]
21,151,[1 6 3 12 8 11 5 9 10 7 2 4 13]
22,-280,[13 11 9 6 8 12 2 1 4 7 5 3 10]
23,53,[2 10 9 4 13 1 7 3 12 6 8 11 5]
24,-197,[2 13 11 6 12 7 4 10 8 9 3 1 5]
25,-170,[9 5 12 10 2 6 7 8 4 13 3 11 1]
Iteration: 160
Team ,Score ,Strategy
1,193,[4 3 9 1 6 5 11 8 12 7 10 13 2]
2,210,[1 3 10 5 8 11 2 12 4 9 13 7 6]
3,305,[4 3 10 5 12 8 1 2 7 9 13 11 6]
4,210,[1 3 10 5 8 11 2 12 4 9 13 7 6]
5,369,[1 7 10 3 5 8 9 2 4 12 13 11 6]
6,229,[4 3 12 1 5 6 9 2 11 7 10 8 13]
7,-61,[7 10 6 9 11 3 12 5 4 2 1 13 8]
8,169,[3 1 11 8 12 7 10 2 5 4 13 6 9]
9,-213,[4 12 10 7 6 2 13 11 1 5 3 8 9]
10,-233,[10 9 6 1 7 11 2 13 12 8 5 3 4]
11,-16,[12 10 7 2 1 4 11 3 6 8 9 13 5]
12,-42,[12 8 4 2 10 5 6 1 3 7 11 9 13]
13,-23,[5 3 13 9 1 11 6 12 7 2 4 10 8]
14,-121,[4 13 5 9 10 6 8 1 11 12 3 2 7]
15,144,[4 10 1 12 3 7 6 13 5 11 2 9 8]
16,-331,[11 9 12 10 7 1 8 4 2 13 5 3 6]
17,142,[8 2 3 12 1 6 11 4 9 5 7 10 13]
18,-440,[10 5 9 11 3 12 4 13 7 6 8 1 2]
19,111,[6 13 4 1 5 2 7 10 11 9 12 3 8]
20,-308,[8 10 12 6 4 7 13 1 2 3 9 11 5]
21,-91,[6 7 8 13 2 1 5 10 3 9 12 11 4]
22,-594,[9 11 12 5 13 4 6 10 3 8 7 2 1]
23,-110,[9 5 3 12 7 4 2 8 11 6 13 10 1]
24,336,[1 4 2 12 6 13 3 7 8 11 9 5 10]
25,165,[1 2 11 4 10 3 9 6 13 7 8 12 5]
Iteration: 161
Team ,Score ,Strategy
1,236,[1 3 10 5 8 11 2 12 4 9 13 7 6]
2,114,[1 4 2 12 6 13 3 9 8 11 10 7 5]
3,206,[1 3 10 5 8 11 9 2 4 12 13 7 6]
4,184,[4 3 10 5 7 11 9 2 12 1 13 8 6]
5,449,[1 7 10 3 5 6 9 2 4 12 13 11 8]
6,202,[4 3 10 5 12 11 1 2 8 9 13 7 6]
7,39,[8 4 5 6 11 3 9 12 10 2 1 7 13]
8,151,[6 12 4 9 1 11 3 10 5 2 13 8 7]
9,-224,[9 12 13 4 2 6 11 5 7 1 10 3 8]
10,-546,[13 11 10 12 6 2 9 7 5 8 1 4 3]
11,-205,[1 13 9 10 2 8 5 6 12 4 11 7 3]
12,253,[5 1 4 7 12 2 11 8 13 3 10 9 6]
13,-23,[12 1 7 9 2 3 13 6 10 4 8 11 5]
14,-295,[7 9 3 5 10 11 12 13 4 8 2 6 1]
15,-181,[2 10 4 12 3 5 8 13 11 6 9 7 1]
16,107,[1 12 10 3 11 9 4 6 13 5 2 8 7]
17,-172,[12 7 9 1 3 10 13 11 5 6 4 8 2]
18,111,[2 11 13 3 9 4 1 7 8 5 12 10 6]
19,-191,[2 10 13 11 6 9 12 1 4 3 5 7 8]
20,371,[4 8 10 5 2 1 12 9 6 7 3 11 13]
21,337,[1 4 5 3 13 6 10 12 9 7 11 2 8]
22,-454,[13 8 9 2 12 6 10 3 4 11 7 1 5]
23,-344,[10 13 8 1 11 7 5 4 3 6 9 12 2]
24,-59,[13 4 10 3 7 11 8 2 5 6 12 1 9]
25,-66,[13 10 5 2 7 3 8 9 4 11 1 12 6]
Iteration: 162
Team ,Score ,Strategy
1,222,[1 3 10 5 8 11 9 2 4 12 13 7 6]
2,60,[5 8 10 7 12 2 4 9 6 3 1 11 13]
3,327,[5 1 4 7 12 2 11 6 13 3 10 9 8]
4,222,[1 3 10 5 8 11 9 2 4 12 13 7 6]
5,152,[1 7 10 5 8 2 11 12 4 3 13 9 6]
6,224,[1 7 10 5 12 6 9 2 4 3 13 11 8]
7,14,[2 6 8 9 5 13 4 10 3 7 12 1 11]
8,-29,[7 13 11 6 3 8 2 5 12 4 1 9 10]
9,-450,[7 13 6 8 12 11 3 5 10 9 4 2 1]
10,-55,[13 2 5 11 10 4 9 3 6 12 7 8 1]
11,275,[4 9 5 1 3 10 2 12 8 11 13 6 7]
12,-226,[1 13 10 8 6 11 12 5 7 9 4 3 2]
13,181,[13 4 2 7 1 3 10 12 8 9 5 11 6]
14,48,[10 1 13 4 7 11 2 12 5 3 6 8 9]
15,-261,[6 10 7 11 8 4 12 13 1 9 5 3 2]
16,-515,[7 13 5 12 9 10 8 6 11 2 3 1 4]
17,-63,[7 13 9 8 2 5 12 1 6 10 3 4 11]
18,-212,[12 2 4 8 13 7 5 10 11 9 6 3 1]
19,152,[7 1 3 12 5 11 9 8 2 4 13 10 6]
20,-173,[8 13 6 9 2 4 12 10 3 7 5 11 1]
21,27,[9 2 10 12 1 7 11 5 13 3 6 4 8]
22,124,[10 1 9 3 8 13 5 11 2 4 7 12 6]
23,-408,[12 13 8 4 11 2 7 5 9 10 1 6 3]
24,156,[2 10 1 7 6 9 8 13 3 11 4 5 12]
25,208,[4 5 7 6 9 3 1 12 11 13 10 8 2]
Iteration: 163
Team ,Score ,Strategy
1,13,[4 5 7 6 9 3 1 12 11 13 10 8 2]
2,221,[1 7 10 5 8 6 9 2 4 3 13 11 12]
3,221,[1 7 10 5 8 6 9 2 4 3 13 11 12]
4,144,[1 3 10 5 8 11 9 2 4 12 13 7 6]
5,221,[1 7 10 5 8 6 9 2 4 3 13 11 12]
6,-175,[4 5 10 6 9 12 11 2 13 3 7 8 1]
7,76,[3 5 2 6 10 12 8 13 11 9 7 1 4]
8,-34,[8 3 5 7 12 10 2 4 6 11 13 9 1]
9,-165,[9 11 13 5 3 10 8 6 7 4 1 12 2]
10,-47,[12 8 6 9 10 11 2 4 7 1 3 13 5]
11,123,[1 8 13 4 9 6 11 2 7 5 10 12 3]
12,145,[12 3 2 8 6 10 5 9 11 4 13 1 7]
13,69,[4 6 7 12 2 5 13 3 11 1 9 10 8]
14,-43,[3 10 9 12 2 13 6 4 7 8 1 5 11]
15,-91,[12 5 6 7 10 8 4 1 9 13 3 11 2]
16,76,[9 12 3 8 2 6 4 7 11 5 10 13 1]
17,59,[13 9 2 8 4 7 3 5 6 11 1 10 12]
18,6,[3 7 9 4 11 10 13 1 2 8 6 12 5]
19,-211,[8 11 10 4 3 7 9 12 6 2 13 1 5]
20,128,[7 5 1 12 11 6 3 8 13 2 4 10 9]
21,-211,[11 12 8 2 7 3 4 13 1 9 5 10 6]
22,-338,[13 11 7 3 12 4 1 2 6 10 9 8 5]
23,-8,[13 7 1 3 4 11 12 6 5 10 2 9 8]
24,-124,[9 12 7 8 5 2 4 3 11 6 13 10 1]
25,-55,[9 6 4 3 8 12 13 1 11 10 7 2 5]
Iteration: 164
Team ,Score ,Strategy
1,12,[7 5 1 12 11 6 3 8 13 2 4 10 9]
2,390,[1 3 2 5 8 11 9 7 4 10 13 12 6]
3,257,[1 7 10 5 8 6 9 2 4 3 13 11 12]
4,66,[7 12 1 5 11 6 9 2 4 3 13 8 10]
5,257,[1 7 10 5 8 6 9 2 4 3 13 11 12]
6,81,[7 5 10 4 8 6 9 2 13 3 1 11 12]
7,31,[4 8 5 13 2 7 6 1 12 10 11 3 9]
8,-105,[4 13 6 8 1 10 11 12 9 2 5 7 3]
9,207,[4 1 3 9 10 13 7 6 8 11 5 12 2]
10,-167,[12 3 5 4 7 13 8 10 6 11 1 2 9]
11,-111,[1 12 11 4 9 13 10 2 6 7 3 8 5]
12,4,[4 2 9 6 12 10 11 5 13 1 3 7 8]
13,-251,[13 6 2 9 12 7 11 10 5 1 8 3 4]
14,-234,[3 6 11 10 8 12 7 4 9 13 2 1 5]
15,-20,[3 11 1 7 6 13 5 12 9 8 4 10 2]
16,-326,[6 10 12 3 11 13 5 4 2 9 8 1 7]
17,-15,[5 12 4 7 11 2 3 1 8 13 10 6 9]
18,199,[1 7 13 11 10 2 3 4 9 5 6 8 12]
19,153,[6 7 2 1 5 8 12 11 9 13 10 4 3]
20,156,[5 8 10 2 1 7 11 13 3 6 4 12 9]
21,101,[5 3 11 1 4 13 8 9 12 6 2 7 10]
22,75,[1 12 4 8 7 6 2 10 3 9 13 5 11]
23,-398,[10 9 12 4 6 13 8 3 11 5 7 2 1]
24,231,[7 11 1 2 6 10 5 9 4 3 8 13 12]
25,-593,[13 12 10 9 11 7 5 3 6 1 2 4 8]
Iteration: 165
Team ,Score ,Strategy
1,166,[1 7 13 11 10 2 3 4 9 5 6 8 12]
2,-66,[7 11 13 2 10 6 3 4 9 5 8 1 12]
3,-66,[7 11 13 2 10 6 3 4 9 5 8 1 12]
4,601,[1 3 2 5 8 11 9 7 4 10 13 6 12]
5,109,[4 11 1 9 6 10 5 7 8 3 13 12 2]
6,-100,[4 7 10 5 8 13 9 2 11 3 1 12 6]
7,-325,[9 13 10 3 11 7 4 6 8 2 1 12 5]
8,196,[1 5 12 11 10 2 4 6 13 7 8 3 9]
9,97,[5 9 1 6 3 12 4 13 8 2 11 10 7]
10,8,[13 3 9 6 2 12 4 1 11 5 7 8 10]
11,364,[2 8 11 7 4 1 10 6 9 5 3 12 13]
12,-73,[8 10 13 3 11 1 6 2 5 7 4 12 9]
13,44,[8 1 13 9 11 3 4 5 6 10 12 2 7]
14,-11,[12 2 10 5 7 6 1 13 8 4 9 3 11]
15,-26,[2 6 13 4 12 9 10 8 11 3 5 1 7]
16,39,[8 2 3 6 9 12 4 13 7 11 10 1 5]
17,-324,[10 11 12 1 9 6 8 7 4 2 5 13 3]
18,-51,[6 7 13 10 2 4 12 8 5 9 11 3 1]
19,-153,[8 11 10 5 4 12 6 3 13 7 2 1 9]
20,-315,[13 12 11 2 10 6 9 5 1 7 8 4 3]
21,-78,[9 12 4 7 10 6 8 2 5 13 1 3 11]
22,190,[1 10 9 5 4 7 12 2 3 11 13 6 8]
23,-281,[5 13 11 9 7 6 2 12 3 1 8 4 10]
24,10,[6 10 3 13 2 8 9 1 11 7 4 12 5]
25,45,[6 13 7 11 2 1 3 8 5 4 12 9 10]
Iteration: 166
Team ,Score ,Strategy
1,78,[4 11 1 9 6 10 5 7 8 3 13 12 2]
2,292,[1 7 2 11 8 3 9 13 4 5 6 10 12]
3,242,[4 3 2 9 6 10 5 7 8 11 13 12 1]
4,31,[1 7 12 11 10 2 3 4 13 9 6 5 8]
5,78,[2 10 11 7 4 1 12 6 9 5 13 8 3]
6,293,[1 3 12 5 10 2 4 7 11 13 8 6 9]
7,-289,[13 2 12 7 9 11 8 5 3 4 10 1 6]
8,33,[1 12 6 8 7 13 3 5 4 11 10 9 2]
9,-202,[9 11 5 4 6 7 10 13 12 1 8 2 3]
10,49,[12 6 2 4 5 9 11 1 3 13 8 7 10]
11,153,[2 3 8 7 13 4 12 9 11 1 5 6 10]
12,-138,[7 4 12 13 11 10 6 3 2 1 9 8 5]
13,-96,[12 3 11 9 10 1 2 6 5 8 7 4 13]
14,-226,[5 12 8 11 7 13 1 2 10 6 9 4 3]
15,-250,[7 12 2 13 9 11 1 8 10 5 3 6 4]
16,-206,[13 8 7 1 6 12 10 4 5 9 11 3 2]
17,219,[3 13 5 11 2 6 4 9 1 8 10 7 12]
18,-71,[4 13 3 6 9 10 8 5 12 2 11 7 1]
19,-242,[11 13 7 4 8 3 9 10 1 12 5 2 6]
20,-233,[4 10 7 5 9 6 13 12 11 8 3 1 2]
21,26,[10 12 3 2 1 6 13 8 9 7 4 11 5]
22,400,[4 7 3 5 1 2 8 13 12 11 6 10 9]
23,290,[1 12 2 11 6 4 3 9 5 13 8 7 10]
24,-101,[4 5 13 9 7 10 12 2 6 3 11 1 8]
25,-130,[9 3 7 12 5 2 11 8 10 6 4 13 1]
Iteration: 167
Team ,Score ,Strategy
1,14,[3 13 5 11 2 6 4 9 1 8 10 7 12]
2,-158,[4 13 5 9 6 10 8 7 1 11 3 2 12]
3,88,[3 7 2 11 8 6 9 13 4 5 10 1 12]
4,327,[1 12 3 5 6 2 4 9 7 11 13 10 8]
5,73,[1 12 2 5 6 10 3 9 11 13 8 7 4]
6,-158,[4 13 5 9 6 10 8 7 1 11 3 2 12]
7,206,[2 5 9 8 1 12 10 11 7 4 6 3 13]
8,-118,[13 2 7 4 10 5 6 8 11 1 12 9 3]
9,-144,[9 10 4 6 5 2 12 13 8 11 1 7 3]
10,12,[4 7 11 1 12 5 10 3 8 9 13 2 6]
11,-292,[13 3 5 10 11 7 12 2 8 4 9 1 6]
12,126,[8 1 3 12 10 2 4 11 5 13 7 9 6]
13,182,[5 8 6 1 7 10 11 13 12 2 3 4 9]
14,-229,[6 7 9 13 12 8 5 3 4 1 11 10 2]
15,-503,[11 9 13 5 12 4 7 8 3 1 10 2 6]
16,-6,[6 11 4 1 13 9 7 10 5 2 3 8 12]
17,-142,[7 5 13 8 6 1 11 10 3 4 9 2 12]
18,-6,[3 5 6 9 12 13 10 7 1 4 2 11 8]
19,181,[2 1 11 4 5 10 12 13 8 6 7 9 3]
20,360,[4 3 1 7 2 9 13 11 12 6 10 5 8]
21,-343,[12 10 1 11 4 9 13 8 6 2 3 7 5]
22,511,[1 3 2 8 6 5 7 12 9 13 4 11 10]
23,-266,[8 4 10 11 7 6 12 3 5 9 13 1 2]
24,-38,[4 11 6 5 8 7 3 12 9 10 13 2 1]
25,323,[4 8 3 5 7 1 2 11 10 13 12 9 6]
Iteration: 168
Team ,Score ,Strategy
1,139,[5 8 6 1 7 10 11 13 12 2 3 4 9]
2,280,[2 5 9 8 1 3 10 11 12 13 6 4 7]
3,190,[1 3 7 8 6 5 13 11 12 9 10 2 4]
4,117,[4 3 7 5 2 9 13 11 10 6 12 1 8]
5,249,[5 3 6 1 7 10 11 13 12 2 8 4 9]
6,117,[4 3 7 5 2 9 13 11 10 6 12 1 8]
7,156,[9 1 8 6 3 11 12 13 2 7 5 10 4]
8,293,[3 2 8 12 5 1 13 7 6 4 11 9 10]
9,-483,[7 13 4 10 11 12 8 9 6 2 5 1 3]
10,-159,[9 8 7 13 2 10 3 12 1 6 11 4 5]
11,42,[6 7 8 5 1 11 9 4 3 13 10 2 12]
12,-5,[5 4 11 8 2 10 6 7 12 9 13 1 3]
13,22,[11 3 12 10 9 1 4 13 7 2 5 6 8]
14,307,[1 11 2 4 10 5 7 6 9 8 12 3 13]
15,-119,[6 9 7 10 8 3 12 5 4 13 2 1 11]
16,-51,[13 12 7 5 11 3 2 6 1 9 4 8 10]
17,-217,[8 11 9 4 5 2 13 10 6 7 12 3 1]
18,-383,[8 12 13 1 11 10 7 4 9 5 2 6 3]
19,173,[6 3 1 7 11 13 9 4 5 12 2 8 10]
20,-69,[9 4 12 13 7 3 1 10 6 2 11 8 5]
21,-196,[13 6 8 9 4 12 1 10 7 11 3 5 2]
22,-155,[7 12 9 13 8 6 4 3 10 1 2 5 11]
23,-187,[4 10 7 13 3 5 12 8 11 6 1 9 2]
24,-56,[3 7 11 8 6 13 9 12 4 1 2 10 5]
25,-5,[11 9 10 7 3 2 1 5 6 8 12 13 4]
Iteration: 169
Team ,Score ,Strategy
1,132,[6 3 1 7 11 13 9 4 5 12 2 8 10]
2,415,[1 3 7 8 6 5 4 11 9 12 10 2 13]
3,91,[1 3 7 12 6 5 13 8 11 9 10 2 4]
4,340,[6 3 1 12 5 8 9 4 2 7 11 13 10]
5,237,[2 3 6 1 7 5 11 13 12 10 8 4 9]
6,315,[3 2 8 12 5 1 13 7 6 4 10 9 11]
7,-286,[1 12 3 13 11 5 8 9 2 4 7 10 6]
8,-309,[3 8 13 10 1 12 11 9 5 2 4 6 7]
9,-363,[10 3 7 13 6 8 12 11 4 1 9 2 5]
10,-396,[10 12 5 6 4 9 7 11 13 3 8 2 1]
11,249,[4 9 1 7 3 6 12 13 5 2 10 8 11]
12,133,[5 13 1 3 4 10 2 12 8 9 6 11 7]
13,438,[2 5 3 9 4 8 6 13 1 10 11 7 12]
14,-470,[10 9 11 1 13 12 4 8 3 7 5 6 2]
15,307,[8 1 10 3 7 5 9 4 2 6 13 12 11]
16,114,[6 9 12 4 3 1 8 11 5 2 10 7 13]
17,-345,[9 11 6 5 12 2 4 7 3 13 8 1 10]
18,-178,[1 13 11 3 12 6 5 10 2 8 9 4 7]
